,Loss,train-acc,test-acc
0,2.4648480587005617,19.71,26.69
1,2.1588588812351226,25.130000000000003,38.72
2,2.011915261089802,28.90666666666667,41.82
3,1.910069255337119,31.9475,44.4
4,1.8286895539283752,34.599999999999994,55.2
5,1.4096199904084206,49.25,46.47
6,1.3713481833189727,50.595,55.21
7,1.3297163999478023,52.38,60.98
8,1.288927516013384,54.0975,60.6
9,1.2500334861516953,55.572,61.42
10,1.06694815094769,62.73,62.95
11,1.0264117912650108,64.36,65.64
12,0.9976882107158502,65.14333333333333,70.63
13,0.975785981360823,66.03999999999999,69.17
14,0.9551549793854356,66.708,73.23
15,0.8287974961102009,71.17,74.31
16,0.8143477552682161,71.63000000000001,76.64
17,0.7989940253272653,72.21,75.34
18,0.7883693081978709,72.61999999999999,77.22
19,0.7774057863965631,72.994,76.78
20,0.7057583451066166,75.71,76.83
21,0.6924980463543907,76.145,79.45
22,0.6881478239030888,76.29,80.16
23,0.6806179678509943,76.6125,78.44
24,0.673096310218051,76.846,80.49
25,0.6081604046113789,78.64999999999999,78.2
26,0.6067524994630367,78.89500000000001,77.71
27,0.6017346051397423,79.27666666666666,80.01
28,0.5962322297329083,79.45,82.31
29,0.5895223305474967,79.768,82.06
30,0.5569397353231907,80.69,79.58
31,0.5509215663336218,81.33,83.38
32,0.5422358296600481,81.62333333333333,84.24
33,0.542034288417548,81.605,82.77
34,0.5331224956382066,81.812,81.75
35,0.479439568862319,83.48,84.22
36,0.4915827999478206,83.21,84.7
37,0.4912804193974783,83.23333333333333,83.93
38,0.4916077759878244,83.22,84.01
39,0.48749839951675383,83.36200000000001,84.73
40,0.4447491187322885,85.35000000000001,83.91
41,0.45790996582154186,84.52,84.52
42,0.45054178114173316,84.74666666666667,83.04
43,0.4474810864930041,84.80499999999999,84.58
44,0.4470774181377143,84.80799999999999,86.33
45,0.3990678248135373,86.04,84.39
46,0.4009156021894887,86.25,86.02
47,0.4002962982052316,86.43333333333332,82.75
48,0.4069593119903002,86.1125,83.87
49,0.40634073026049883,86.194,86.77
50,0.37040241208905356,86.91,86.81
51,0.3717146063556429,87.22999999999999,85.49
52,0.3744103197196188,87.18333333333334,85.39
53,0.37785590898094235,87.0825,86.43
54,0.3816494322885759,86.92,84.03
55,0.3385290140938014,88.66000000000001,86.2
56,0.345821797094075,88.17,85.65
57,0.34829641215301427,88.12333333333333,85.5
58,0.35041387276363095,88.08,86.71
59,0.3508610726366751,88.036,87.1
