,Loss,train-acc,test-acc
0,4.194848378181457,4.818,27.0
1,3.75026533575058,10.706,39.2
2,3.4697991990566255,15.292,49.69
3,3.2275588790416716,19.604,59.21
4,3.0086707484960558,24.124000000000002,63.47
5,2.7916304293870926,28.299999999999997,69.71
6,2.625253204011917,31.856,73.28
7,2.495140879046917,34.528,73.39
8,2.378774299669266,37.147999999999996,76.56
9,2.271552145433426,39.4,78.25
10,2.181618627476692,41.577999999999996,76.72
11,2.1026870160937308,43.391999999999996,78.81
12,2.0148069183468817,45.632,81.35
13,1.9573032012939453,46.98,81.4
14,1.891117348921299,48.354,79.8
15,1.8265705608963967,49.830000000000005,82.52
16,1.7807041495263576,51.002,83.99
17,1.7255207838475703,52.342,82.83
18,1.682225584241748,53.164,84.8
19,1.6374529550641774,54.574,84.76
20,1.6051984023183585,55.102,85.53
21,1.5463044097870589,56.67,84.41
22,1.5251311256915332,57.120000000000005,85.64
23,1.482977650487423,57.998000000000005,85.4
24,1.4442051212489604,58.826,86.11
25,1.4066920299902559,60.136,86.9
26,1.3733326140910387,60.782000000000004,86.43
27,1.3420473204404115,61.736000000000004,87.51
28,1.3159070855408908,62.49,87.62
29,1.2873127717673778,63.088,87.53
30,1.0579345130130648,69.036,89.6
31,0.9892697235926986,70.67999999999999,89.62
32,0.959387722504139,71.422,89.56
33,0.9376428827665746,72.052,89.71
34,0.9273633546579629,72.304,89.59
35,0.9134558261163532,72.78,89.86
36,0.8918880272395909,73.22,89.87
37,0.8726666091986001,73.784,89.73
38,0.8635755173541605,74.07000000000001,89.77
39,0.8565974617294967,74.29,89.83
40,0.8449906602501869,74.724,89.88
41,0.8398500623408705,74.83999999999999,89.66
42,0.830007776984945,75.044,89.72
43,0.8200535462617874,75.29,89.62
44,0.8086521542184055,75.434,89.97
45,0.8004262262657285,75.824,90.01
46,0.7877176738135516,75.92999999999999,89.88
47,0.7817486267935485,76.28,89.86
48,0.776172891946882,76.576,89.72
49,0.7609313885767013,76.844,89.68
