,Loss,train-acc,test-acc
0,4.538629526376725,1.8499999999999999,12.68
1,4.423770912051201,2.48,19.84
2,4.340525664409002,3.236666666666667,23.39
3,4.264510007858276,4.047499999999999,29.88
4,4.201190314245224,4.746,32.7
5,3.82864603471756,9.11,37.8
6,3.7848112794160844,9.844999999999999,42.69
7,3.744460249821345,10.426666666666666,43.68
8,3.703580184698105,11.094999999999999,46.84
9,3.668276587152481,11.602,47.5
10,3.4454599344730377,15.07,50.37
11,3.436043659567833,15.190000000000001,50.95
12,3.410681389729182,15.886666666666665,53.85
13,3.381903046041727,16.4875,53.18
14,3.3570273095846175,17.022000000000002,54.55
15,3.1792145973443984,20.18,57.1
16,3.156871039271355,20.84,57.39
17,3.136827314933141,21.35333333333333,60.55
18,3.1136428004205228,21.785,62.2
19,3.0903116149187086,22.292,63.99
20,2.9471412477493284,24.82,64.29
21,2.922971299648285,25.380000000000003,65.61
22,2.90372314230601,25.866666666666667,65.38
23,2.878477230668068,26.322499999999998,67.75
24,2.864038203907013,26.582,68.82
25,2.690674505352974,30.330000000000002,70.94
26,2.6921222586631774,30.365,70.45
27,2.6749709508021673,30.373333333333335,71.1
28,2.6610771508812903,30.5775,72.65
29,2.646828196167946,30.912,72.96
30,2.525498726606369,33.25,72.87
31,2.514382219284773,33.52,73.2
32,2.5023762246966363,33.85333333333334,74.51
33,2.4940579940825702,34.28,74.71
34,2.484128961098194,34.504000000000005,75.41
35,2.367837911605835,37.44,74.28
36,2.376163360655308,37.15,76.55
37,2.371224993864695,37.20666666666666,76.33
38,2.3662809764444828,37.195,76.86
39,2.3602643254518507,37.344,75.96
40,2.263776056408882,39.43,77.83
41,2.2590603696405887,39.885,78.16
42,2.2591676996350287,39.82666666666667,78.5
43,2.246886518061161,39.947500000000005,77.66
44,2.2432066237449644,39.878,78.44
45,2.1662224015593528,41.93,78.75
46,2.1605470049083233,41.845,79.21
47,2.155091796120008,41.90333333333333,79.89
48,2.1497086506187917,42.107499999999995,79.91
49,2.1467690594792366,42.196,79.76
50,2.0765579383969306,43.25,80.36
51,2.074217001914978,43.39,81.0
52,2.0691839958230656,43.67666666666667,80.78
53,2.067057769432664,43.7475,80.78
54,2.0652959728479385,43.906,81.96
55,1.96824015635252,46.650000000000006,81.36
