,Loss,train-acc,test-acc
0,1.4468692100942135,47.566,64.65
1,0.9298479848742485,67.536,75.34
2,0.7183086637079715,75.422,78.69
3,0.6025695676386357,79.262,82.6
4,0.531484967154637,81.74,83.9
5,0.4670935985662043,84.006,83.9
6,0.4250103431545198,85.19,85.23
7,0.3884377903074026,86.66,86.81
8,0.3581473583864048,87.708,86.94
9,0.32813467704784127,88.71,87.21
10,0.3037755982566625,89.542,87.41
11,0.28012209972543645,90.23,88.48
12,0.2629026699279435,91.062,88.93
13,0.24669704187233002,91.35,88.61
14,0.2298912063665688,91.996,89.62
15,0.2172486669425154,92.54599999999999,89.81
16,0.20454143996119964,92.86999999999999,90.32
17,0.1867615356957249,93.512,89.83
18,0.18254127117549068,93.624,89.79
19,0.17325395860519494,93.928,90.35
20,0.12062218207136612,95.846,91.61
21,0.09852341622056555,96.686,91.99
22,0.08753845181018696,97.182,92.13
23,0.08063616921929061,97.378,92.14
24,0.07720486994687817,97.464,92.23
25,0.07384997255595517,97.63199999999999,92.27
26,0.0716677379705652,97.57400000000001,92.02
27,0.06844140735331457,97.746,92.36
28,0.06504255640057599,97.934,92.45
29,0.06467859178467333,97.858,92.47
