,Loss,train-acc,test-acc
0,1.887523973941803,29.79,42.94
1,1.7221349375247956,36.25,48.07
2,1.610645044962565,40.79666666666667,58.68
3,1.521189303457737,44.505,60.37
4,1.4468692100942135,47.566,64.65
5,1.0612818756699562,62.69,68.95
6,1.01863419059664,64.27000000000001,68.9
7,0.9914252097855012,65.20333333333333,71.85
8,0.9605497568957507,66.33,72.73
9,0.9298479848742485,67.536,75.34
10,0.7711193175762892,73.87,77.04
11,0.7551838625445962,74.13,76.35
12,0.7432181967397531,74.56666666666666,78.18
13,0.7279510054811835,75.09,79.06
14,0.7183086637079715,75.422,78.69
15,0.6300952918455005,78.34,79.3
16,0.6245375334396959,78.45,81.16
17,0.6149286456704139,78.78333333333333,81.13
18,0.609852054130286,78.9,81.33
19,0.6025695676386357,79.262,82.6
20,0.5513813880886883,81.06,82.31
21,0.5394648138312623,81.435,82.82
22,0.5378062590515862,81.56,83.84
23,0.5354501163917593,81.525,82.21
24,0.531484967154637,81.74,83.9
25,0.47793314335122705,83.55,84.05
26,0.4744059045892209,83.775,83.73
27,0.4718301474930098,83.7,84.09
28,0.4697188545041718,83.8275,83.96
29,0.4670935985662043,84.006,83.9
30,0.43622950843907893,84.6,85.1
31,0.434412847334519,84.82,85.75
32,0.4277539491293331,85.10666666666667,85.42
33,0.43073566918075085,85.0325,85.18
34,0.4250103431545198,85.19,85.23
35,0.3795284568425268,86.55000000000001,86.38
36,0.38669726635701956,86.61999999999999,86.15
37,0.3896987806648637,86.58333333333333,85.09
38,0.38893589765857906,86.6175,87.2
39,0.3884377903074026,86.66,86.81
40,0.36121874742908405,87.68,86.72
41,0.3653287742070388,87.48,86.33
42,0.36161057702917604,87.61666666666666,86.02
43,0.35846121768117883,87.705,87.56
44,0.3581473583864048,87.708,86.94
45,0.3190287321619689,88.81,87.7
46,0.3206263843728229,88.835,87.09
47,0.32007727698143573,88.94333333333333,87.35
48,0.3272901808839524,88.6725,86.3
49,0.32813467704784127,88.71,87.21
50,0.2914528986518271,89.92999999999999,87.87
51,0.295975471931044,89.84,88.04
52,0.3006312568945189,89.65666666666667,87.85
53,0.30323551313695496,89.5975,87.82
54,0.3037755982566625,89.542,87.41
55,0.262313844460994,91.18,88.21
56,0.2731738080610521,90.60000000000001,88.46
57,0.2756945913103409,90.46666666666667,88.13
58,0.2801391672916943,90.245,88.43
59,0.28012209972543645,90.23,88.48
60,0.24906294815731234,91.55,88.53
61,0.2571197698569158,91.405,88.74
62,0.26066246909516244,91.23,89.5
63,0.26232528068393,91.11749999999999,88.93
64,0.2629026699279435,91.062,88.93
65,0.24169064079388045,91.53999999999999,88.98
66,0.24223576442431657,91.44,89.06
67,0.2459727680464275,91.41333333333334,88.33
68,0.244698864564416,91.425,89.58
69,0.24669704187233002,91.35,88.61
70,0.2169519866167102,92.2,88.76
71,0.22009161832660903,92.17999999999999,89.42
72,0.22268089806940405,92.20666666666666,89.33
73,0.2295244754735031,91.995,89.1
74,0.2298912063665688,91.996,89.62
75,0.20191478020115755,92.92,89.56
76,0.21039079736231361,92.78999999999999,90.03
77,0.21702459109652167,92.63,88.83
78,0.21821025140507846,92.515,89.99
79,0.2172486669425154,92.54599999999999,89.81
80,0.18554570460057584,93.60000000000001,90.09
81,0.1970646832641796,93.135,89.65
82,0.20015917799532568,93.07333333333332,89.34
83,0.20276105419939267,92.975,89.83
84,0.20454143996119964,92.86999999999999,90.32
85,0.18343206332216505,93.51,89.72
86,0.18845041722949826,93.435,90.14
87,0.18898721312176592,93.45,90.12
88,0.18651578052003606,93.535,89.83
89,0.1867615356957249,93.512,89.83
90,0.16844753214891534,93.96,89.87
91,0.17513780526822667,93.75,89.67
92,0.17662443164999908,93.72,90.18
93,0.1823266523485363,93.57,90.19
94,0.18254127117549068,93.624,89.79
95,0.17009142230416183,94.08,90.62
96,0.1659295721767121,94.325,90.31
97,0.16714983476995257,94.17999999999999,90.15
98,0.17000286481580407,94.06750000000001,90.14
99,0.17325395860519494,93.928,90.35
100,0.1502709658530657,94.81,90.8
101,0.13814243698286008,95.23,91.41
102,0.12853243119155133,95.59666666666666,91.58
103,0.12399571667046257,95.735,91.57
104,0.12062218207136612,95.846,91.61
105,0.09416403834411176,96.78,91.94
106,0.09914440689134062,96.6,91.8
107,0.10001337658879735,96.63666666666667,91.77
108,0.10024157522196765,96.6325,91.81
109,0.09852341622056555,96.686,91.99
110,0.09011422203559778,97.23,91.83
111,0.08690872253236012,97.22,91.97
112,0.08691980156181187,97.22,92.12
113,0.08619093381068524,97.2225,91.96
114,0.08753845181018696,97.182,92.13
115,0.08295803886282374,97.38,92.1
116,0.08033526349272142,97.475,92.07
117,0.08101167178032241,97.40666666666667,92.06
118,0.08011735290204525,97.41250000000001,92.03
119,0.08063616921929061,97.378,92.14
120,0.07261022981035058,97.64,92.19
121,0.07756478263027385,97.38,92.15
122,0.07513348739796978,97.50666666666666,92.07
123,0.07651257908827393,97.44749999999999,92.01
124,0.07720486994687817,97.464,92.23
125,0.07232427236088551,97.75,92.09
126,0.07170466716842203,97.74000000000001,92.18
127,0.07406412189551823,97.64,92.17
128,0.07421967462904286,97.6175,92.38
129,0.07384997255595517,97.63199999999999,92.27
130,0.07235274678678252,97.61,92.3
131,0.06989547656037758,97.675,92.22
132,0.07242256076270617,97.56333333333333,92.23
133,0.0728737349672665,97.5525,92.35
134,0.0716677379705652,97.57400000000001,92.02
135,0.06386389090141165,97.98,92.24
136,0.0656323957023851,97.84,92.23
137,0.06625146778712224,97.78999999999999,92.32
138,0.06746552319035072,97.77,92.29
139,0.06844140735331457,97.746,92.36
140,0.061185921762644285,98.11,92.3
141,0.06379011406798053,98.045,92.54
142,0.06566264350929972,97.92999999999999,92.33
143,0.06565281667968065,97.91,92.31
144,0.06504255640057599,97.934,92.45
145,0.06358215588254097,97.95,92.44
146,0.06362669475918664,97.92,92.4
147,0.06415866241461117,97.88666666666667,92.33
148,0.06374405325678345,97.855,92.15
149,0.06467859178467333,97.858,92.47
