,Skip,Loss,train-acc,test-acc
0,0.0,4.5604304590225215,1.72,11.14
1,0.0,4.4601185532808305,2.15,17.42
2,0.0,4.368796674331029,2.8133333333333335,23.07
3,0.0,4.28591972965002,3.66,31.02
4,0.0,4.210907115793228,4.478,35.13
5,0.0,3.8362679646015168,9.02,37.21
6,0.0,3.7904921405315397,9.32,40.37
7,0.0,3.7613612287839255,9.763333333333334,42.4
8,0.0,3.724512449324131,10.42,45.81
9,0.0,3.69120135807991,10.986,47.59
10,0.0,3.4814923684597017,14.6,48.61
11,0.0,3.4431548656225206,15.235000000000001,51.81
12,0.0,3.413900326093038,15.98,54.66
13,0.0,3.3838557430505753,16.405,55.64
14,0.0,3.354672601246834,16.902,57.15
15,0.0,3.148363586783409,21.12,58.37
16,1.0,3.129379128396511,21.625,60.6
17,1.0,3.103169768810272,22.040000000000003,60.77
18,1.0,3.0877182776629923,22.2075,62.08
19,1.0,3.064004771351814,22.698,64.21
20,3.0,2.9074989312887194,25.39,65.17
21,7.0,2.8842443155050277,26.040000000000003,66.48
22,9.0,2.875831934094429,26.040000000000003,67.14
23,15.0,2.8548360315561294,26.627499999999998,68.75
24,20.0,2.8367881759643554,26.996,68.68
25,24.0,2.689083381175995,29.630000000000003,69.34
26,35.0,2.688203000485897,29.744999999999997,71.52
27,42.0,2.6688266581694284,30.166666666666668,71.0
28,48.0,2.647392629981041,30.630000000000003,70.78
29,61.0,2.6359151795625686,30.936000000000003,72.07
30,75.0,2.503056570529938,33.75,73.34
31,91.0,2.4935238038897514,34.089999999999996,73.45
32,111.0,2.492928854862849,34.14666666666666,72.9
33,132.0,2.490051889061928,34.265,74.91
34,152.0,2.472193406176567,34.562,75.5
35,176.0,2.37649354493618,37.0,75.3
36,203.0,2.373933517694473,37.08,75.85
37,222.0,2.3755189388195674,37.03333333333333,75.68
38,250.0,2.358093113347888,37.63,77.13
39,274.0,2.353144946682453,37.618,77.14
40,299.0,2.2258578611016273,40.27,77.44
41,340.0,2.2324929000735283,40.255,78.3
42,370.0,2.2325031563242277,40.11666666666667,78.63
43,406.0,2.232760425314307,40.17,78.42
44,438.0,2.2343884434223176,40.23,78.98
45,476.0,2.1422760185599325,41.91,78.7
46,531.0,2.151941002190113,42.04,78.85
47,571.0,2.1515142785310744,41.99666666666666,78.67
48,614.0,2.147440938934684,42.21,79.18
49,645.0,2.1433838436841963,42.314,80.07
50,708.0,2.0299013354182245,44.879999999999995,79.94
51,765.0,2.0455521231889726,44.525,79.63
52,819.0,2.0617775405844054,44.21666666666667,80.81
53,857.0,2.0590975394397972,44.14,81.28
54,909.0,2.057738294970989,44.230000000000004,81.0
55,969.0,1.961232013106346,45.75,81.2
56,1029.0,1.9814841119349003,45.910000000000004,81.28
57,1106.0,1.9808658505479495,45.89666666666667,81.54
58,1178.0,1.9858291317224503,45.777499999999996,82.01
59,1235.0,1.9892763636291027,45.826,81.67
60,1295.0,1.922162875533104,47.63,81.63
61,1378.0,1.9297891398370266,47.615,82.06
62,1432.0,1.9276775626937548,47.55333333333333,82.98
63,1511.0,1.9294083710759877,47.5025,82.82
64,1594.0,1.930302539205551,47.392,82.56
65,1674.0,1.8695418338179588,48.51,82.64
66,1755.0,1.8717538980841637,48.44,82.97
67,1826.0,1.8748354091644288,48.43333333333334,83.5
68,1899.0,1.874413834899664,48.4375,82.94
69,1960.0,1.8738094813704491,48.518,82.63
70,2047.0,1.7708051703572274,50.82,82.96
71,2121.0,1.7879514046311378,50.370000000000005,83.22
72,2187.0,1.8055069781442483,49.986666666666665,83.95
73,2287.0,1.8104919237717987,50.0225,83.6
74,2371.0,1.8109974056959153,49.964,82.68
75,2461.0,1.7473144591152667,52.03,83.21
76,2571.0,1.746909947052598,51.93,83.79
77,2658.0,1.7536834315558274,51.583333333333336,83.79
78,2754.0,1.7483456711769103,51.6725,83.84
79,2837.0,1.7532503330230713,51.526,84.07
80,2933.0,1.6678982930481434,53.61,83.63
81,3040.0,1.686807097002864,53.11,84.29
82,3140.0,1.7009491191605728,52.903333333333336,84.33
83,3256.0,1.7023303643390537,52.86,84.13
84,3351.0,1.706439896184206,52.800000000000004,84.56
85,3456.0,1.6258077423274517,54.16,84.22
86,3563.0,1.6384031560868024,54.059999999999995,85.01
87,3665.0,1.6499564689894517,54.00666666666667,84.69
88,3771.0,1.6581866995170713,53.8925,84.58
89,3891.0,1.6628688286185265,53.846000000000004,84.74
90,3993.0,1.5962105352282525,54.96,84.78
91,4111.0,1.6063959791064262,54.974999999999994,85.18
92,4220.0,1.6192226859331131,54.736666666666665,85.09
93,4348.0,1.6257250001132488,54.61,84.27
94,4455.0,1.624169604831934,54.818,85.65
95,4564.0,1.5686329299807549,56.13,85.7
96,4685.0,1.5815286122858525,55.620000000000005,85.81
97,4814.0,1.5800597892999648,55.74666666666667,85.46
98,4951.0,1.5813242365643383,55.645,85.81
99,5057.0,1.5804620717108249,55.681999999999995,85.11
100,5160.0,1.4943542448878289,57.49999999999999,85.81
101,5285.0,1.5039964469075202,57.589999999999996,85.94
102,5406.0,1.5185323784649372,57.25,85.89
103,5556.0,1.534920712865889,56.8875,85.7
104,5680.0,1.5456619199573993,56.592,85.86
105,5814.0,1.4908611346781253,57.66,85.51
106,5978.0,1.5051124315559865,57.67,85.62
107,6124.0,1.5094713191886744,57.513333333333335,85.74
108,6266.0,1.5186521831154822,57.325,85.92
109,6415.0,1.5155920856237413,57.462,86.26
110,6555.0,1.445152124941349,58.56,85.68
111,6710.0,1.4709520319104195,57.93000000000001,86.44
112,6868.0,1.4628814020454883,58.27333333333333,85.79
113,6997.0,1.4797025367543102,58.1025,85.99
114,7135.0,1.4842565287947656,58.07,86.01
115,7292.0,1.428746773570776,59.440000000000005,86.06
116,7432.0,1.4302454632967712,59.365,86.71
117,7593.0,1.4423201630612215,59.06333333333333,86.07
118,7742.0,1.4531526736319065,58.832499999999996,85.79
119,7904.0,1.4527678964793682,58.797999999999995,87.08
120,8051.0,1.3740374468415975,60.56,86.1
121,8237.0,1.3955652681216597,60.0,86.18
122,8394.0,1.404389381463329,59.89333333333333,87.05
123,8535.0,1.410964069534093,59.792500000000004,87.01
124,8697.0,1.4136833175748587,59.768,86.32
125,8879.0,1.3844546017348767,60.62,86.89
126,9055.0,1.392458713121712,60.35,87.12
127,9249.0,1.3975082142005364,60.099999999999994,86.89
128,9436.0,1.4023864254765213,60.0625,86.7
129,9605.0,1.4040609863132238,60.11,86.85
130,9788.0,1.344066331923008,61.99,86.63
131,9960.0,1.3479232428148389,61.44500000000001,86.49
132,10125.0,1.3650111457606158,60.78666666666667,87.09
133,10314.0,1.368005868140608,60.89,86.93
134,10492.0,1.369037318894267,60.972,87.42
135,10696.0,1.348771792933345,61.760000000000005,87.26
136,10878.0,1.3350127210505307,61.94499999999999,86.98
137,11078.0,1.3474426837290328,61.66666666666667,86.84
138,11258.0,1.345219253724441,61.765,86.99
139,11428.0,1.3448170047894121,61.7,87.39
140,11648.0,1.3031362008750438,63.080000000000005,87.29
141,11876.0,1.3135682028904556,62.695,87.3
142,12080.0,1.3164277816762526,62.370000000000005,87.05
143,12274.0,1.3219630469158292,62.25000000000001,86.85
144,12493.0,1.3284560478359462,62.050000000000004,87.41
145,12704.0,1.2492668537348508,64.17,87.3
146,12920.0,1.283536877371371,63.29,87.37
147,13126.0,1.2883052601317564,62.98666666666667,87.15
148,13344.0,1.2900282056592405,62.9675,88.06
149,13537.0,1.2982740491181612,62.773999999999994,87.6
150,13548.0,1.2345188852101565,63.870000000000005,88.23
151,13548.0,1.1827285095900297,65.5,88.79
152,13548.0,1.1497620728363593,66.46666666666667,89.15
153,13548.0,1.1316919076927006,66.83,89.42
154,13548.0,1.11725439876616,67.164,89.24
155,13862.0,1.0132405835837126,69.91000000000001,89.4
