,Loss,train-acc,test-acc
0,4.514368026971817,2.07,15.99
1,4.40587573337555,2.6599999999999997,21.94
2,4.324728021144867,3.4000000000000004,23.78
3,4.252937504291534,4.14,31.5
4,4.194848378181457,4.818,27.0
5,3.8797780177593233,8.799999999999999,35.05
6,3.8444017865657805,9.375,35.48
7,3.8136691247622174,9.790000000000001,40.65
8,3.781991195678711,10.2575,41.63
9,3.75026533575058,10.706,39.2
10,3.556704488992691,13.56,42.54
11,3.543503580927849,13.614999999999998,46.14
12,3.5199803013006847,14.073333333333332,46.54
13,3.4915231215357783,14.6925,46.42
14,3.4697991990566255,15.292,49.69
15,3.3223674912452696,17.57,53.91
16,3.290149080991745,18.2,51.87
17,3.2771168319384256,18.493333333333332,55.93
18,3.253999751508236,19.0625,57.59
19,3.2275588790416716,19.604,59.21
20,3.0924057894945145,22.48,57.42
21,3.06227095580101,22.905,56.23
22,3.043035625100136,23.526666666666667,60.89
23,3.0243036717772482,23.8425,60.45
24,3.0086707484960558,24.124000000000002,63.47
25,2.8436704345941544,27.389999999999997,65.28
26,2.837226753771305,27.525,67.96
27,2.821688890536626,27.723333333333333,63.95
28,2.8077368346452714,28.000000000000004,64.55
29,2.7916304293870926,28.299999999999997,69.71
30,2.680019275903702,30.69,69.42
31,2.6649686607122423,31.055,71.15
32,2.6487828106482825,31.346666666666668,70.04
33,2.636939859330654,31.5975,71.03
34,2.625253204011917,31.856,73.28
35,2.4949207348227502,34.82,72.4
36,2.4966447850763798,34.589999999999996,72.31
37,2.505423278192679,34.38333333333333,70.83
38,2.502791090592742,34.3175,70.63
39,2.495140879046917,34.528,73.39
40,2.4050363210439683,36.66,75.46
41,2.400389299213886,36.795,75.46
42,2.3979738410711287,36.943333333333335,75.37
43,2.385657754868269,37.13,74.75
44,2.378774299669266,37.147999999999996,76.56
45,2.281733511209488,39.24,75.92
46,2.2907340444922446,38.96,76.31
47,2.2820795500278472,39.04,76.18
48,2.2782464103847744,39.1925,77.52
49,2.271552145433426,39.4,78.25
50,2.197287971615791,40.949999999999996,77.99
51,2.1939960552453996,41.099999999999994,77.45
52,2.189980397780736,41.24,78.14
53,2.186941477254033,41.3325,77.68
54,2.181618627476692,41.577999999999996,76.72
55,2.101607441544533,43.72,80.2
56,2.1198542250692842,43.035000000000004,78.63
57,2.1157633679707843,43.236666666666665,79.37
58,2.10686518214643,43.285000000000004,79.8
59,2.1026870160937308,43.391999999999996,78.81
60,2.0156410201191903,45.48,80.04
61,2.03409775570035,45.105000000000004,81.02
62,2.02847727483511,45.18666666666667,81.0
63,2.016104885235429,45.59,81.03
64,2.0148069183468817,45.632,81.35
65,1.9673446359038353,46.78,80.13
66,1.9671728581488133,47.144999999999996,78.69
67,1.9661941776076952,46.913333333333334,80.88
68,1.9657539833933115,46.765,80.38
69,1.9573032012939453,46.98,81.4
70,1.903934295475483,47.85,81.72
71,1.8962476794421672,48.15,80.98
72,1.8983935664892198,48.07,82.03
73,1.89949247276783,48.19,82.74
74,1.891117348921299,48.354,79.8
75,1.8157965502738953,49.830000000000005,82.27
76,1.8148681890666485,50.305,82.62
77,1.8133691531618437,50.05333333333334,82.7
78,1.8264001261144875,49.88,82.74
79,1.8265705608963967,49.830000000000005,82.52
80,1.7709555542469024,51.559999999999995,82.32
81,1.7748989108204842,50.980000000000004,83.41
82,1.7734947423736254,51.10666666666667,83.16
83,1.7742630447596313,51.11750000000001,82.66
84,1.7807041495263576,51.002,83.99
85,1.6975186704695224,52.89,83.91
86,1.7030424742698669,52.790000000000006,84.4
87,1.712296903739373,52.516666666666666,83.6
88,1.7175685771480202,52.4625,83.72
89,1.7255207838475703,52.342,82.83
90,1.6644058943986892,53.010000000000005,84.96
91,1.6690263148397206,53.215,83.95
92,1.6745251234074434,53.21333333333334,83.4
93,1.6729306990318,53.32,83.88
94,1.682225584241748,53.164,84.8
95,1.6198356136977672,55.169999999999995,84.15
96,1.634118839353323,54.845,83.69
97,1.6431458612680436,54.60333333333334,85.22
98,1.6385075433589518,54.55,80.69
99,1.6374529550641774,54.574,84.76
100,1.5638813078850509,56.00000000000001,83.04
101,1.5966163474544883,55.230000000000004,84.18
102,1.6001628727962574,55.20333333333334,83.89
103,1.5973746689222752,55.2475,82.84
104,1.6051984023183585,55.102,85.53
105,1.5230924948453903,57.330000000000005,84.82
106,1.5446622330844402,56.769999999999996,85.28
107,1.5415406758636236,56.703333333333326,85.76
108,1.5449820170961321,56.56,85.11
109,1.5463044097870589,56.67,84.41
110,1.498368414759636,57.720000000000006,85.89
111,1.5079687499552965,57.365,85.27
112,1.5167102388342222,57.25,85.48
113,1.5215329299233853,57.2775,85.46
114,1.5251311256915332,57.120000000000005,85.64
115,1.4430035207271577,58.75,86.04
116,1.4656469501256943,58.265,85.88
117,1.4744153228998185,57.98,85.13
118,1.4802969887331128,57.942499999999995,86.27
119,1.482977650487423,57.998000000000005,85.4
120,1.4324578792601823,58.709999999999994,85.93
121,1.4351914364919067,58.775,86.29
122,1.430233431359132,59.093333333333334,86.25
123,1.436882944136858,59.040000000000006,85.47
124,1.4442051212489604,58.826,86.11
125,1.3763299519121648,61.260000000000005,85.85
126,1.3967848954051734,60.545,87.07
127,1.4008395847727855,60.29666666666667,86.65
128,1.402282199062407,60.209999999999994,84.71
129,1.4066920299902559,60.136,86.9
130,1.3430323921442031,61.09,87.09
131,1.3552733244225383,61.160000000000004,86.91
132,1.3686201970378558,60.97666666666667,86.93
133,1.3664278087206185,60.8625,86.32
134,1.3733326140910387,60.782000000000004,86.43
135,1.30572114546597,62.56,85.93
136,1.3310171610340475,62.2,87.03
137,1.3325457358012596,61.97666666666667,86.41
138,1.3393902389705181,61.855000000000004,86.7
139,1.3420473204404115,61.736000000000004,87.51
140,1.297452488064766,62.63999999999999,85.99
141,1.2895700308606028,62.925,87.14
142,1.3000531621724367,62.78,86.27
143,1.3089114041291177,62.7525,87.36
144,1.3159070855408908,62.49,87.62
145,1.2517387461215257,63.57000000000001,86.81
146,1.2702556456699967,63.515,86.69
147,1.2763037480314572,63.349999999999994,87.66
148,1.2847897672839463,63.224999999999994,87.34
149,1.2873127717673778,63.088,87.53
150,1.1326877367347479,66.81,88.93
151,1.094997590854764,67.85,89.29
152,1.0815460716610155,68.30000000000001,89.51
153,1.0641805356163532,68.8875,89.48
154,1.0579345130130648,69.036,89.6
155,0.9802894424274564,70.88,89.45
156,0.9841034531220794,70.655,89.49
157,0.9927643780534466,70.58666666666666,89.61
158,0.9887048935182393,70.7225,89.74
159,0.9892697235926986,70.67999999999999,89.62
160,0.9786146220117807,71.12,89.49
161,0.9700341786295176,71.085,89.67
162,0.9655210336595774,71.27,89.63
163,0.9645798160284758,71.2825,89.47
164,0.959387722504139,71.422,89.56
165,0.9207344606630504,72.37,89.62
166,0.9284935299213976,72.11999999999999,89.44
167,0.9304353937767446,72.22333333333333,89.8
168,0.9309470111755654,72.27749999999999,89.68
169,0.9376428827665746,72.052,89.71
170,0.9269141000974923,72.49,89.71
171,0.9274202975528315,72.385,89.64
172,0.9305358133073897,72.29333333333334,89.62
173,0.9304908795249648,72.2275,89.56
174,0.9273633546579629,72.304,89.59
175,0.9216150369457901,72.50999999999999,89.7
176,0.9187126320805401,72.725,89.54
177,0.9078651581915717,72.84666666666666,89.74
178,0.9137222629776225,72.75,89.73
179,0.9134558261163532,72.78,89.86
180,0.8820626118592918,72.97,89.77
181,0.8846512769218534,73.15,89.63
182,0.8902105301780006,73.22666666666666,89.54
183,0.8927038423409686,73.1175,89.69
184,0.8918880272395909,73.22,89.87
185,0.8778918607272208,73.65,89.75
186,0.8683053817730397,73.83,89.87
187,0.8696678318741421,73.86333333333333,89.87
