,Loss,train-acc,test-acc
0,1.8286895539283752,34.599999999999994,55.2
1,1.2500334861516953,55.572,61.42
2,0.9551549793854356,66.708,73.23
3,0.7774057863965631,72.994,76.78
4,0.673096310218051,76.846,80.49
5,0.5895223305474967,79.768,82.06
6,0.5331224956382066,81.812,81.75
7,0.48749839951675383,83.36200000000001,84.73
8,0.4470774181377143,84.80799999999999,86.33
9,0.40634073026049883,86.194,86.77
10,0.3816494322885759,86.92,84.03
11,0.3508610726366751,88.036,87.1
12,0.3313784311602823,88.73,86.21
13,0.31347139350427317,89.198,86.37
14,0.28824432515633525,89.964,87.34
15,0.27426947804964147,90.518,87.01
16,0.2590283608878031,91.07600000000001,85.56
17,0.24176090417690574,91.5,88.33
18,0.23056706905043683,92.0,88.59
19,0.2167458643782418,92.592,89.81
20,0.1427595994475996,95.172,91.65
21,0.1247916683270596,95.844,91.86
22,0.11354676968205021,96.172,91.93
23,0.10983749697675813,96.26400000000001,92.02
24,0.10516437159585185,96.462,92.13
25,0.10214674518829561,96.59400000000001,92.04
26,0.09850108595126658,96.6,92.07
27,0.09459650730770955,96.81,92.28
28,0.09063722404628934,96.932,92.09
29,0.08716791009779554,97.05,92.12
